=== AT Log start ===
file: /logs/atlog_20251223_090924.txt
[2025/12/23,09:09:24+36] RUN START
[2025/12/23,09:09:24+36] CMD: AT+CREG=0
[2025/12/23,09:09:24+36] RSP: AT+CREG=0
[2025/12/23,09:09:24+36] CMD: AT+CEREG=2
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CEREG=2
[2025/12/23,09:09:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,09:09:24+36] CMD: AT%SETCFG="BAND","8"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%SETCFG="BAND","8"
[2025/12/23,09:09:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,09:09:24+36] CMD: AT+CGATT=0
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CGATT=0
[2025/12/23,09:09:24+36] CMD: AT+COPS=2
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: +CEREG: 0
[2025/12/23,09:09:24+36] RSP: AT+COPS=2
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] CMD: AT%NWOPER="SOFTBANK"
[2025/12/23,09:09:24+36] RSP: AT%NWOPER="SOFTBANK"
[2025/12/23,09:09:24+36] CMD: AT+CGDCONT=1,"IP","sakura"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CGDCONT=1,"IP","sakura"
[2025/12/23,09:09:24+36] CMD: AT+CGAUTH=1,0
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CGAUTH=1,0
[2025/12/23,09:09:24+36] CMD: AT+CFUN=1
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CFUN=1
[2025/12/23,09:09:24+36] CMD: AT+COPS=1,2,"44020"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+COPS=1,2,"44020"
[2025/12/23,09:09:24+36] RSP: <FF><FF><FF><EF>
[2025/12/23,09:09:24+36] RSP: <87><CD><BE><F7>\~<AC><FF><E0><DD>m<F8><B7>oc<E4>[<BF><F1>w<D3><F0>
[2025/12/23,09:09:24+36] RSP: [<9C><EB><FE><F3>nz<BF>Oi?Q<8F><1F><FF>mO<F5><B2>z<D7><DC><F3>
[2025/12/23,09:09:24+36] RSP: <B0><E9>gG<13><C7>G<F9><AF>rk<FF><D9><E6><DF><B7><D6><DE><FD>}<CF><B5><FF>
[2025/12/23,09:09:24+36] EVENT: ERROR detected; GPIO20 LOW; pending restart
[2025/12/23,09:09:24+36] RSP: ERROR
[2025/12/23,09:09:24+36] RSP: +CEREG: 2
[2025/12/23,09:09:24+36] RESTART FROM TOP
[2025/12/23,09:09:24+36] CMD: AT+CREG=0
[2025/12/23,09:09:24+36] TIMEOUT: 30s
[2025/12/23,09:09:24+36] CMD: AT+CEREG=2
[2025/12/23,09:09:24+36] RSP: AT+CEREG=2
[2025/12/23,09:09:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","1"
[2025/12/23,09:09:24+36] CMD: AT%SETCFG="BAND","8"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%SETCFG="BAND","8"
[2025/12/23,09:09:24+36] CMD: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT%TRSHCMD="BSPFILE","TECHSEL","0"
[2025/12/23,09:09:24+36] CMD: AT+CGATT=0
[2025/12/23,09:09:24+36] RSP: OK
[2025/12/23,09:09:24+36] RSP: AT+CGATT=0
[2025/12/23,09:09:24+36] EVENT: ERROR detected; GPIO20 LOW; pending restart
[2025/12/23,09:09:24+36] CMD: AT+COPS=2
[2025/12/23,09:09:24+36] RSP: ERROR
